Cities,Latitude,Max_Temperature,Humidity,Cloudiness,Wind_Speed
Barrow,-38.31,53.857400000000055,43,92,3.42
Nikolskoye,59.7,39.2,93,0,1.0
San Ramon de la Nueva Oran,-23.13,70.32740000000001,68,92,3.12
Nacala,-14.56,74.15240000000001,100,8,0.62
Bouake,7.69,74.15240000000001,97,44,3.22
Bluff,-23.58,74.7374,75,92,4.72
Busselton,-33.64,61.95740000000005,100,92,5.12
Ushuaia,-54.81,48.2,45,40,7.2
Vero Beach,27.64,84.92000000000007,78,40,2.6
Cockburn Town,21.46,81.9374,100,80,4.77
Sandwick,54.57,50.0,93,8,3.1
Seltso,55.57,41.0,83,0,1.0
Nanortalik,60.14,34.59740000000007,93,8,11.42
Luau,-10.7,72.08240000000006,68,0,2.02
Igarka,67.47,32.75240000000001,90,80,11.07
Rikitea,-23.12,71.13739999999999,100,92,4.72
Kasongo-Lunda,-6.48,67.80740000000006,100,20,0.97
Codrington,-28.95,59.527400000000014,100,92,2.57
Upernavik,72.79,25.77740000000001,100,0,6.07
Vakhrushevo,55.23,39.2,80,40,6.0
Wilmington,39.75,78.98000000000005,100,90,1.32
Kyabe,9.45,74.87240000000008,76,32,2.07
Narsaq,60.91,32.0,97,5,0.5
Svetlogorsk,53.14,33.8,80,20,5.0
Jamestown,-33.21,64.29740000000007,57,0,4.77
Yellowknife,62.45,35.6,69,90,2.6
Pangnirtung,66.15,19.4,67,20,1.0
Asyut,27.18,69.80000000000001,60,0,3.1
Mataura,-46.19,44.22740000000001,67,92,9.07
Cape Town,-33.93,59.0,77,20,6.2
Lavrentiya,65.58,42.69740000000007,100,92,8.62
Reconquista,-29.14,69.60740000000006,64,80,7.67
Leningradskiy,69.38,35.76740000000003,97,56,6.32
New Norfolk,-42.78,53.6,62,40,3.6
Avarua,-21.21,78.80000000000001,78,75,8.2
Jaguaruna,-28.62,65.37740000000002,94,92,6.02
Atuona,-9.8,80.6774,99,24,8.27
Polessk,54.86,50.0,93,0,2.0
Athni,16.73,71.6774,73,48,2.52
Bambous Virieux,-20.34,71.6,64,40,3.1
Turukhansk,65.8,32.88739999999999,89,88,9.67
Chokurdakh,70.62,21.907400000000052,86,80,1.22
Esil,51.96,37.65740000000005,92,44,3.22
Cayenne,4.94,80.6,88,0,2.6
Arraial do Cabo,-22.97,73.97240000000008,97,100,1.87
Tuktoyaktuk,69.44,21.2,92,20,5.1
Carnarvon,-30.97,57.007400000000054,41,88,4.02
Kranea Elassonos,39.95,42.20240000000001,97,0,1.07
Sabang,13.72,82.07240000000007,92,8,2.92
Ponta do Sol,-20.63,76.1774,59,24,3.82
Dabakala,8.36,74.33240000000006,91,24,2.12
Vaini,15.34,67.58240000000006,84,0,1.62
Sioux Lookout,50.1,28.4,100,90,3.1
Fortuna,38.18,68.0,88,0,1.12
Smithers,54.78,46.4,70,90,1.5
Port Alfred,-33.59,64.47740000000002,94,64,7.37
Lorengau,-2.02,85.58240000000006,95,36,4.52
Half Moon Bay,37.46,75.2,56,20,6.2
Dikson,73.51,31.98739999999999,100,76,8.77
Pesochenskiy,54.17,35.00240000000001,81,0,1.42
Kodiak,39.95,53.06000000000009,48,1,3.6
Puerto Ayora,-0.74,77.0,65,0,9.8
Krasnoborsk,61.56,32.88739999999999,88,68,3.67
Dunedin,-45.87,39.68240000000005,80,88,7.72
Punta Arenas,-53.16,48.2,61,75,11.3
Bethel,60.79,46.04000000000002,76,90,7.2
Bredasdorp,-34.53,57.2,93,20,5.82
Majene,-3.54,82.74740000000008,98,0,4.57
Hualmay,-11.1,61.37240000000007,94,32,2.57
Lebu,8.96,57.2,44,20,2.1
Sattahip,12.67,78.80000000000001,78,20,2.1
Yongan,39.7,26.947400000000073,75,0,1.42
Torbay,47.66,35.6,69,90,5.7
Mahebourg,-20.41,71.6,64,40,3.1
Svetlaya,46.54,49.132400000000054,100,80,5.72
Klaksvik,62.23,51.8,100,92,8.7
Talnakh,69.49,29.647400000000072,92,68,8.62
Albany,42.65,69.08000000000004,90,90,1.32
Muros,42.77,59.0,77,20,7.7
Kapaa,22.08,84.02000000000007,72,40,4.6
Laguna,27.52,82.4,61,90,5.1
Ambilobe,-13.19,73.29740000000007,71,0,6.92
Hobart,-42.88,53.6,62,40,3.6
Scottsbluff,41.87,48.02000000000007,67,90,5.1
Vetlanda,57.43,51.8,87,8,2.6
Springbok,-29.67,50.88739999999999,69,68,1.67
Hasaki,35.73,66.2,100,75,2.6
Hermanus,-34.42,53.94740000000007,88,64,2.07
Thompson,55.74,39.2,27,20,3.1
